ID,sex,Year,Coded.CGPA,exam_score,coursemark,Section,affect_pre,cog_pre,value_pre,difficulty_pre,interest_pre,effort_pre,affect_post,cog_post,value_post,difficulty_post,interest_post,effort_post,change_affect,change_cog,change_value,change_difficulty,change_interest,change_effort,Open_Email,online,cgpa,email
1,Female,4,2,NA,NA,4,2.66666666666667,4.33333333333333,5.11111111111111,3.14285714285714,3.75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,In-class,C,Plain
2,Male,NA,2,NA,NA,4,3.66666666666667,4.66666666666667,4.66666666666667,3.14285714285714,4.75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,In-class,C,Plain
3,Male,4,2,48.6,67,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,In-class,C,Plain
4,Female,2,1,NA,NA,5,2.16666666666667,3,6.11111111111111,2.71428571428571,6.25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,In-class,B,Interesting
5,Male,4,2,NA,NA,5,4.83333333333333,6.33333333333333,6.11111111111111,4.42857142857143,7,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,In-class,C,Interesting
6,Female,4,3,54,73,6 (online),4.33333333333333,6.16666666666667,4.66666666666667,3.57142857142857,5,7,4.83333333333333,5,5.44444444444444,3.85714285714286,5.75,5.5,0.5,-1.16666666666667,0.777777777777778,0.285714285714286,0.75,-1.5,0,Online,D,Interesting
7,Male,4,1,NA,NA,6 (online),4.66666666666667,6.33333333333333,6.33333333333333,1.57142857142857,6.75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Online,B,Interesting
8,Male,3,2,39,29,5,3,3,5.33333333333333,2.71428571428571,4.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,In-class,C,Interesting
9,Female,NA,2,43,60,4,4,5.16666666666667,4.88888888888889,3.57142857142857,6,7,2.5,2.5,3.77777777777778,2.14285714285714,5,4.5,-1.5,-2.66666666666667,-1.11111111111111,-1.42857142857143,-1,-2.5,1,In-class,C,Interesting
10,Female,NA,2,NA,NA,4,4.83333333333333,6.83333333333333,3.11111111111111,3.57142857142857,3.25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,In-class,C,Plain
11,Male,4,2,84,82,4,4.16666666666667,4.83333333333333,7,1.28571428571429,6.5,7,3.66666666666667,6.16666666666667,6.11111111111111,2.28571428571429,6,6.5,-0.5,1.33333333333333,-0.888888888888889,1,-0.5,-0.5,0,In-class,C,Plain
12,Male,2,4,74,82,2,5.33333333333333,5.83333333333333,5.66666666666667,3.71428571428571,6,6.75,6.16666666666667,6.5,5.55555555555556,4.28571428571429,6.25,5.75,0.833333333333334,0.666666666666667,-0.111111111111112,0.571428571428571,0.25,-1,0,In-class,A,Interesting
13,Male,3,3,NA,NA,4,1.33333333333333,4,4.44444444444444,4.42857142857143,1.75,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,In-class,D,Plain
14,Female,NA,4,83,88,5,4.83333333333333,5.33333333333333,6.22222222222222,3.28571428571429,5.25,6.75,5.16666666666667,5.66666666666667,5.88888888888889,3,5.75,6,0.333333333333334,0.333333333333334,-0.333333333333333,-0.285714285714286,0.5,-0.75,1,In-class,A,Interesting
15,Female,NA,1,NA,NA,4,4,5,6.44444444444444,2.85714285714286,5.75,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,In-class,B,Plain
